*	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	
B9	338	653	1301	1501	1775	1950	2067	1970	1804	1588	1380	1166	942	746	587	442	294	203	141	107	81	66	51	39	31	27	22	18	16	15	13	11	11	10	10	9	9	9	9	8	8	7	7	6	5	6	5	6	4	4	5	4	8	5	3	3	3	1	1	2	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-2	-3	0	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
B10	332	673	1343	1564	1803	2038	2049	2005	1850	1620	1384	1177	961	775	589	439	305	204	145	112	85	72	55	42	32	27	21	21	16	14	13	11	8	10	9	8	8	8	7	7	7	7	4	6	5	6	4	5	4	2	4	4	7	5	3	3	1	1	1	1	2	2	0	2	0	0	0	0	0	0	0	0	0	-2	-2	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
B11	314	627	1238	1438	1642	1780	1867	1786	1629	1433	1247	1075	867	680	537	400	279	193	130	98	79	66	50	40	34	27	23	19	17	17	13	12	10	11	9	9	8	8	8	7	6	7	6	6	6	5	4	4	4	4	4	4	6	5	3	3	1	1	1	1	0	2	0	0	2	0	0	0	0	-2	0	0	0	-2	-2	-3	-3	-3	-3	-3	-3	-3	-3	0	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	
B12	296	567	1168	1320	1583	1744	1818	1694	1613	1357	1191	1022	813	669	504	382	262	179	124	93	75	59	47	38	30	26	21	15	16	13	10	9	8	8	8	8	8	7	7	6	6	5	6	5	5	5	5	5	4	2	2	4	6	5	3	1	1	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	-2	-2	-2	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	
C1	42	199	444	379	364	366	357	313	277	234	198	167	134	112	84	70	55	44	38	37	45	46	58	71	84	103	122	146	163	189	200	209	210	220	245	246	250	241	240	236	224	213	195	187	174	166	157	144	130	119	110	101	93	86	75	67	62	56	49	46	42	37	36	29	28	26	23	19	20	17	15	11	11	10	10	8	5	6	6	6	0	3	3	3	3	0	3	0	0	3	0	0	0	-3	-3	0	-3	-4	-4	-4	-4	
C2	63	200	490	400	374	383	368	345	310	255	214	177	142	121	96	70	57	42	36	35	36	41	49	53	65	75	92	108	123	133	149	153	157	170	177	189	192	190	187	179	172	162	157	145	137	130	120	106	101	94	85	76	74	67	59	55	48	46	38	35	29	27	29	23	23	18	15	16	12	12	8	9	7	7	5	5	3	3	3	0	0	0	0	0	0	0	0	-3	0	-3	0	-3	0	0	0	-3	-3	-4	-4	-4	-4	
C3	85	201	470	374	349	366	364	336	281	249	205	171	137	114	96	71	55	40	29	29	30	28	33	36	45	47	58	72	79	93	105	106	108	115	129	133	136	132	130	131	121	116	109	103	102	91	83	78	71	67	59	58	55	50	42	40	35	30	27	26	22	17	18	17	12	13	11	10	10	6	6	7	7	2	2	3	3	0	3	0	0	0	0	0	0	0	0	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-4	0	-4	-4	
C4	150	254	556	468	456	459	459	426	377	315	274	221	186	149	119	86	61	43	32	29	25	24	25	27	31	35	42	51	60	68	79	82	83	88	103	108	108	110	108	101	101	99	92	87	78	79	73	65	58	51	47	49	44	38	33	32	27	25	22	20	16	16	13	12	12	7	8	8	6	6	4	2	5	2	2	0	0	0	0	0	0	0	-3	0	-3	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C5	192	327	664	542	533	545	537	478	436	377	309	271	215	169	132	99	65	49	41	29	27	22	23	24	25	29	36	45	55	65	69	74	76	87	97	105	103	105	103	101	98	88	88	83	77	73	70	62	57	50	48	43	42	39	33	26	26	25	20	19	16	14	13	12	11	9	9	8	6	6	2	5	2	3	3	3	0	0	0	0	0	-3	-3	-3	0	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
C6	149	311	659	626	614	637	673	617	549	486	420	350	290	225	174	135	90	66	48	35	31	25	24	24	20	23	28	32	38	40	48	49	48	56	61	62	66	65	65	65	60	57	56	53	48	46	41	39	37	32	30	28	27	26	20	18	15	13	12	11	10	10	7	7	7	4	4	4	4	2	2	2	2	0	0	0	0	0	0	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
