*	300nm	305nm	310nm	315nm	320nm	325nm	330nm	335nm	340nm	345nm	350nm	355nm	360nm	365nm	370nm	375nm	380nm	385nm	390nm	395nm	400nm	405nm	410nm	415nm	420nm	425nm	430nm	435nm	440nm	445nm	450nm	455nm	460nm	465nm	470nm	475nm	480nm	485nm	490nm	495nm	500nm	505nm	510nm	515nm	520nm	525nm	530nm	535nm	540nm	545nm	550nm	555nm	560nm	565nm	570nm	575nm	580nm	585nm	590nm	595nm	600nm	605nm	610nm	615nm	620nm	625nm	630nm	635nm	640nm	645nm	650nm	655nm	660nm	665nm	670nm	675nm	680nm	685nm	690nm	695nm	700nm	705nm	710nm	715nm	720nm	725nm	730nm	735nm	740nm	745nm	750nm	755nm	760nm	765nm	770nm	775nm	780nm	785nm	790nm	795nm	800nm	
E3	22	110	345	215	169	133	111	98	79	59	48	42	34	23	24	15	17	14	16	15	18	20	22	26	31	35	38	40	45	47	48	50	49	52	57	57	55	54	52	52	50	49	46	45	43	41	36	36	32	30	27	24	26	24	19	18	17	16	14	14	11	10	10	11	9	5	6	6	6	6	4	2	2	2	3	3	0	-3	0	0	0	-3	0	0	0	0	0	0	-3	-3	0	-3	-3	0	-3	-3	-3	-7	0	-4	-4	
E4	22	90	353	218	145	134	119	90	79	59	43	38	34	23	24	15	17	10	10	10	10	10	12	13	12	16	14	17	18	16	18	17	17	18	18	20	18	19	18	17	18	16	16	17	15	14	14	12	11	12	10	10	12	11	7	7	6	4	6	5	5	5	3	2	2	2	2	0	0	0	0	0	2	2	0	0	0	-3	0	-3	-3	-3	-3	0	-3	0	0	-3	-3	-3	0	-3	0	0	-3	0	-3	-4	-4	0	-4	
E5	22	110	372	227	131	146	129	99	72	66	48	38	30	26	21	18	15	12	9	8	10	7	8	10	8	9	9	8	7	7	8	9	8	8	8	7	8	8	7	6	7	7	6	7	5	6	5	4	4	4	4	4	7	5	3	3	3	3	3	2	2	0	2	2	2	0	0	0	0	0	0	0	0	-2	0	-3	0	-3	0	0	-3	-3	-3	-3	-3	-3	-3	-3	0	0	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
E6	44	112	354	218	144	136	113	84	67	64	47	34	26	27	17	18	15	12	9	8	10	9	9	8	8	8	8	8	8	7	8	6	7	6	5	6	6	6	7	6	6	6	5	5	5	5	4	2	4	3	3	3	7	5	1	1	1	1	2	0	0	2	0	2	2	0	0	-2	0	-2	0	0	0	0	0	0	0	0	-3	0	-3	-3	-3	-3	0	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	0	-4	-4	-4	
E7	22	92	340	209	145	124	104	92	81	58	48	34	30	24	24	18	12	10	9	8	8	7	7	8	8	8	9	8	7	6	7	6	7	6	6	6	6	6	5	6	5	5	5	5	5	4	5	2	4	4	3	3	7	5	1	1	1	1	1	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-3	0	-3	-3	-3	0	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	0	-3	-3	-4	-4	-4	-4	
E8	43	109	360	193	145	127	105	89	73	58	42	39	30	23	21	18	12	10	9	8	8	7	9	8	8	8	6	8	6	6	7	6	4	6	6	6	7	7	6	6	5	5	5	6	4	4	4	4	4	4	3	4	5	4	3	1	1	1	1	0	2	0	0	2	0	0	0	0	0	0	-2	0	0	0	-3	-3	-3	-3	0	0	0	-3	-3	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	0	-3	-3	-4	-4	-4	-4	
E9	21	112	327	202	132	139	121	90	78	53	47	33	30	27	24	17	12	12	9	8	8	9	9	8	6	8	8	6	8	7	7	6	7	6	5	6	7	6	6	5	5	5	3	5	5	4	4	4	4	2	3	3	7	4	3	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	-2	0	-2	-3	0	0	-3	-3	0	0	-3	-3	-3	-3	-3	0	-3	0	-3	0	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
E10	22	110	382	196	121	128	110	100	66	59	48	38	35	23	21	15	15	10	9	10	10	9	9	8	8	6	8	8	9	7	8	6	6	7	6	7	7	6	6	5	5	6	3	5	5	5	4	4	2	4	3	3	7	5	1	1	1	1	1	2	0	2	0	0	0	0	0	0	0	-2	0	0	0	0	0	-3	0	-3	0	0	0	-3	-3	-3	0	-3	-3	0	0	-3	0	-3	-3	-3	-3	-3	-3	-4	0	-4	-4	
E11	45	111	367	193	122	130	103	99	80	64	53	52	38	27	21	21	20	14	12	10	10	10	10	8	9	8	9	8	7	7	7	7	5	5	6	6	6	7	6	6	5	6	5	4	5	4	4	4	4	4	4	3	7	6	1	3	1	1	2	0	2	2	0	0	0	0	0	0	0	0	0	0	0	-2	-3	-3	-3	-3	0	-3	-3	0	-3	0	-3	0	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	-4	-4	-4	-4	
E12	22	129	328	201	141	126	124	106	79	64	48	44	35	26	24	18	15	12	11	11	10	10	9	8	8	6	7	8	9	8	6	6	8	7	7	7	6	6	6	6	6	6	6	4	5	5	4	4	4	4	3	4	5	6	3	3	1	1	2	3	2	2	0	2	0	0	0	0	0	-2	0	0	0	-2	0	0	-3	-3	0	0	-3	0	-3	-3	-3	0	-3	-3	0	-3	-3	-3	-3	-3	-3	-3	-3	0	-4	-4	-4	
